"","PERSONID","VARSTRAT","GCDWORK","WKFTPT","HH_RACE","WKFTPT.1","WKRMHM","DRIVER","DTCOST","DTCONJ","R_SEX","R_AGE","HBHUR","WRKCOUNT","HHFAMINC"
"74191","31862163-2",95,2.3678189302,2,1,2,2,1,-1,-1,2,57,"C",2,8
"74200","31865557-1",77,1.0155784721,2,1,2,2,1,3,-1,2,36,"S",2,14
"74216","31868156-2",58,39.499823213,2,2,2,2,1,-1,-1,2,24,"TC",3,6
"74217","31868156-3",58,11.062241822,2,2,2,2,2,-1,-1,2,27,"TC",3,6
"74231","31869498-1",91,5.0988653669,2,1,2,2,1,-1,-1,2,65,"S",2,16
"74237","31870195-1",73,23.101406725,2,1,2,2,1,-1,-1,2,54,"S",2,12
"74246","31871996-1",25,16.461325801,2,1,2,2,1,-1,-1,2,60,"TC",2,11
"74254","31873066-2",70,12.530903335,2,1,2,2,1,3,-1,1,58,"TC",2,18
"74284","31878333-2",46,24.853851218,2,1,2,2,1,2,-1,1,56,"TC",1,12
"74319","31884521-2",73,0.7758895164,2,1,2,2,1,-1,-1,1,68,"TC",2,8
"74357","31891882-2",1,10.781939786,2,1,2,2,1,-1,-1,2,39,"U",2,18
"74379","31893224-2",39,5.9056759071,2,1,2,2,1,-1,-1,1,68,"TC",1,6
"74385","31894502-2",29,16.687949185,2,1,2,2,1,2,-1,2,18,"TC",2,12
"74401","31896364-4",32,5.103688213,2,3,2,2,1,-1,-1,2,19,"U",4,14
"74417","31900300-1",73,5.2696449527,2,2,2,2,1,-1,-1,2,69,"C",1,3
"74437","31904410-1",76,6.0220450296,2,1,2,2,1,-1,-1,1,60,"S",2,18
"74455","31906713-2",54,3.0276310381,2,1,2,1,1,-1,-1,1,66,"S",1,18
"74456","31906816-1",75,0.392919817,2,1,2,2,1,-1,-1,1,60,"TC",2,17
"74463","31909004-1",89,14.304425831,2,1,2,2,1,-1,-1,2,54,"TC",1,2
"74473","31909648-3",35,6.856859513,2,1,2,2,2,-1,-1,1,22,"TC",2,12
"74474","31910804-1",68,0.0029319513,2,1,2,2,1,-1,-1,2,71,"TC",2,9
"74476","31910925-1",32,3.1199377309,2,1,2,1,2,-1,-1,2,86,"C",1,3
"74487","31914240-1",51,4.7636816789,2,1,2,1,1,-1,-1,2,66,"C",1,13
"74492","31914718-1",20,4.5039448493,2,1,2,2,1,2,-1,2,63,"TC",2,18
"74493","31914718-2",20,12.721389501,2,1,2,1,1,-1,-1,1,67,"TC",2,18
"74512","31916459-1",44,6.4089728111,2,97,2,2,1,-1,2,1,21,"TC",2,3
"74513","31916459-3",44,13.01714998,2,97,2,2,2,3,-1,2,42,"TC",2,3
"74526","31919544-3",51,0.4398664434,2,1,2,2,1,-1,-1,2,18,"S",3,14
"74527","31919544-4",51,0.4398664434,2,1,2,2,2,-1,-1,1,16,"S",3,14
"74545","31923167-4",38,1.1049392929,2,2,2,2,1,-1,-1,2,21,"C",4,8
"74555","31924360-4",84,3.0855192732,2,1,2,2,1,2,-1,2,24,"TC",4,10
"74563","31927174-2",96,3.2873316681,2,1,2,2,1,-1,-1,2,21,"S",2,12
"74581","31930709-1",35,28.280833609,2,1,2,2,1,3,-1,2,53,"S",2,18
"74628","31937306-1",38,14.238475435,2,2,2,2,1,-1,-1,2,44,"TC",2,17
"74633","31937614-1",22,1.4316594729,2,1,2,2,1,2,-1,2,48,"TC",3,18
"74635","31937614-3",22,3.6171729312,2,1,2,2,1,2,-1,1,20,"TC",3,18
"74646","31939122-1",86,0.4752471171,2,1,2,2,1,-1,-1,2,36,"S",2,17
"74690","31944229-1",87,2.1885143048,2,2,2,2,2,-1,-1,2,72,"U",1,-7
"74713","31948272-1",31,9.2855983603,2,1,2,2,1,-1,-1,2,59,"S",2,18
"74725","31951197-1",59,0.4997146134,2,1,2,2,1,-1,-1,2,70,"TC",1,17
"74746","31954022-2",55,6.0877587503,2,1,2,2,1,3,-1,1,70,"C",1,8
"74756","31955346-2",15,10.039013221,2,1,2,2,1,-1,1,2,57,"TC",2,8
"74814","31964281-1",79,0.7989122059,2,1,2,2,1,-1,-1,2,56,"S",2,12
"74829","31967125-1",11,7.9568068704,2,1,2,2,1,-1,2,2,72,"TC",1,-7
"74891","31978327-4",27,23.06788185,2,1,2,2,1,-1,2,2,22,"TC",3,18
"74901","31979511-1",20,3.4808079356,2,1,2,2,1,-1,-1,2,44,"TC",2,18
"74923","31981680-3",14,7.3788084015,2,1,2,2,2,3,-1,2,27,"TC",2,16
"74930","31982669-1",34,12.686875756,2,1,2,2,1,3,-1,2,41,"S",2,-7
"74950","31985772-2",84,1.4498421332,2,1,2,2,1,-1,-1,2,55,"TC",2,18
"74955","31986461-3",50,5.061608303,2,1,2,2,1,-1,-1,2,24,"TC",2,8
"74961","31986676-3",99,0.7298600164,2,7,2,2,2,-1,-1,2,20,"U",2,6
"74975","31988474-3",96,2.5894024299,2,1,2,2,1,3,-1,1,17,"C",3,14
"74983","31989574-1",81,1.209317659,2,1,2,2,1,3,-1,2,44,"TC",2,17
"74993","31990897-1",11,5.13040021,2,1,2,2,1,3,-1,1,69,"TC",1,6
"75007","31993188-1",72,13.507014114,2,1,2,2,1,-1,-1,2,58,"U",2,17
"75013","31993964-2",23,3.0642648862,2,1,2,2,1,-1,-1,2,52,"C",1,14
"75024","31996125-1",3,3.2329711488,2,1,2,2,1,2,-1,2,50,"C",2,8
"75041","31997896-2",90,6.1982216306,2,1,2,1,1,-1,-1,1,49,"S",2,11
"75046","31999993-3",63,0.5103634662,2,1,2,2,1,3,-1,2,17,"TC",3,10
"75050","32000252-3",95,5.6359340287,2,1,2,2,1,-1,-1,2,18,"S",2,12
"75063","32002322-2",45,4.8708130798,2,3,2,2,1,-1,-1,2,43,"U",2,18
"75140","32012376-4",58,4.1799153449,2,1,2,2,1,-1,-1,2,19,"TC",3,18
"75174","32021079-1",37,5.8548874943,2,1,2,2,1,1,-1,2,72,"TC",1,10
"75184","32023233-1",50,3.0948078268,2,1,2,2,1,2,-1,2,42,"TC",1,14
"75212","32027204-2",47,0.6065670699,2,1,2,2,1,2,-1,1,71,"TC",2,15
"75228","32029525-4",34,3.39643506,2,1,2,2,1,1,-1,1,16,"S",2,16
"75255","32032730-1",2,0.6560014304,2,6,2,2,1,3,-1,2,49,"C",3,18
"75260","32033960-1",21,0.4569273378,2,2,2,2,1,3,-1,2,48,"U",1,4
"75265","32034668-1",86,9.0345337834,2,1,2,2,1,-1,-1,2,39,"TC",2,18
"75281","32036523-2",83,2.2108332025,2,1,2,2,1,-1,-1,1,65,"TC",1,17
"75341","32048834-1",56,9.3211322067,2,2,2,2,1,2,-1,2,42,"C",1,10
"75349","32050127-1",5,6.2089583377,2,1,2,1,1,-1,-1,2,45,"C",1,8
"75350","32050136-1",14,16.42963651,2,97,2,2,1,2,-1,1,54,"S",3,17
"75351","32050136-2",14,3.9434625298,2,97,2,1,1,-1,3,2,53,"S",3,17
"75352","32050136-3",14,2.5205309293,2,97,2,2,1,2,-1,2,25,"S",3,17
"75355","32051076-1",92,14.834155375,2,1,2,2,1,2,-1,2,67,"TC",1,5
"75358","32051133-3",88,3.4267164869,2,1,2,2,1,-1,-1,2,24,"TC",2,14
"75373","32053762-1",11,0.3267950673,2,1,2,2,1,-1,-1,1,83,"C",1,5
"75381","32054602-7",6,4.8499986053,2,2,2,2,2,-1,-1,1,38,"TC",1,17
"75411","32061495-2",23,8.7011142546,2,1,2,2,1,-1,-1,2,58,"TC",3,14
"75412","32061495-3",23,9.7229321405,2,1,2,2,1,-1,-1,1,17,"TC",3,14
"75423","32063864-1",46,5.2716697633,2,1,2,2,1,-1,-1,2,71,"TC",1,18
"75435","32065662-2",28,10.623881026,2,1,2,2,1,-1,2,2,28,"TC",2,12
"75453","32067013-3",98,12.265670001,2,1,2,2,1,-1,-1,1,18,"TC",2,14
"75468","32069017-1",56,3.7268559669,2,1,2,2,1,-1,-1,1,76,"C",1,6
"75473","32070303-2",31,3.3785717391,2,1,2,2,1,3,-1,2,46,"TC",2,8
"75475","32070657-1",79,26.642082447,2,1,2,2,1,3,-1,1,52,"S",1,2
"75485","32073322-2",48,0.5913933218,2,1,2,2,2,-1,-1,2,57,"TC",2,10
"75486","32073470-1",29,13.228378653,2,2,2,2,1,-1,-1,1,60,"TC",1,18
"75492","32073591-1",69,2.6654832291,2,7,2,2,1,-1,-1,2,64,"C",1,-8
"75507","32076202-2",95,4.2250624176,2,1,2,1,1,-1,-1,2,62,"TC",1,12
"75508","32076341-1",45,5.1078122733,2,1,2,2,1,-1,2,1,76,"S",1,18
"75516","32076930-4",100,4.4198377775,2,1,2,2,1,-1,-1,1,25,"S",4,18
"75526","32079856-2",55,8.7179270389,2,1,2,2,1,-1,2,2,70,"U",1,14
"75536","32081475-1",2,7.4663398026,2,1,2,2,1,-1,-1,2,31,"C",2,17
"75547","32082801-1",74,3.7510716066,2,1,2,2,1,-1,-1,2,48,"C",3,8
"75549","32082801-3",74,1.0527017428,2,1,2,2,1,-1,-1,2,22,"C",3,8
"75568","32086087-2",47,1.6666712385,2,1,2,1,1,-1,-1,1,60,"S",2,14
"75582","32087909-4",47,2.7709339898,2,7,2,2,1,3,-1,2,59,"TC",1,18
"75596","32090477-2",5,13.195781513,2,1,2,2,1,-1,-1,1,66,"TC",1,14
"75605","32091353-3",37,7.8657163515,2,1,2,2,1,-1,-1,2,22,"TC",3,18
"75627","32096497-1",43,11.053817129,2,7,2,2,1,-1,-1,1,28,"S",1,4
"75672","32104105-1",75,1.9877293744,2,1,2,2,1,2,-1,1,50,"S",1,17
"75685","32105803-1",38,6.6966017224,2,1,2,2,1,3,-1,2,58,"C",2,13
"75704","32108998-1",89,3.7003866266,2,1,2,2,1,-1,-1,2,18,"TC",2,2
"75705","32108998-2",89,3.4699400631,2,1,2,2,1,-1,-1,2,48,"TC",2,2
"75716","32110919-1",57,0.9158519315,2,1,2,1,1,-1,-1,2,72,"TC",2,9
"75718","32111363-1",96,8.5348671171,2,1,2,2,1,2,-1,2,49,"S",2,14
"75728","32112016-2",44,20.659957654,2,-7,2,2,1,-1,-1,2,31,"U",1,-7
"75730","32112191-1",4,0.6683201215,2,1,2,2,1,-1,-1,1,44,"C",1,6
"75766","32117440-2",96,1.2787247583,2,1,2,2,1,2,-1,2,58,"S",2,18
"75767","32118102-1",64,3.7623816653,2,1,2,2,1,3,-1,2,39,"U",1,3
"75774","32118933-1",52,1.7853073147,2,3,2,2,1,-1,-1,2,19,"C",4,18
"75776","32118933-3",52,11.287998678,2,3,2,2,1,-1,-1,2,42,"C",4,18
"75778","32118933-5",52,0.6344038643,2,3,2,2,2,-1,-1,1,18,"C",4,18
"75788","32121081-1",65,3.4140936121,2,1,2,2,1,2,-1,2,69,"S",1,12
"75794","32121719-2",49,2.4483144614,2,1,2,2,1,-1,-1,1,40,"TC",2,6
"75806","32123722-1",80,1.245965501,2,1,2,2,1,1,-1,2,54,"TC",2,9
"75810","32123795-2",97,9.4863124903,2,1,2,2,1,2,-1,2,25,"TC",1,14
"75821","32126394-1",10,0.8073158617,2,1,2,2,1,-1,-1,2,62,"TC",1,6
"75844","32128802-2",3,1.743626555,2,1,2,1,1,-1,-1,2,57,"S",1,17
"75852","32129612-1",22,5.5448193288,2,1,2,2,1,3,-1,2,39,"C",2,13
"75873","32130515-2",85,54.188928144,2,1,2,2,1,-1,-1,1,60,"TC",2,17
"75903","32133440-2",63,2.3048583187,2,1,2,2,1,-1,2,1,53,"C",1,17
"75917","32134399-3",56,2.317327251,2,1,2,2,1,-1,-1,2,26,"C",2,9
"75943","32139723-1",88,0.5428705325,2,1,2,1,1,3,-1,2,65,"S",1,13
"75956","32142031-3",12,4.44448907,2,1,2,2,1,-1,-1,1,19,"U",3,17
"75959","32142264-2",3,1.4178695962,2,1,2,2,1,-1,-1,1,61,"TC",2,3
"75961","32142563-1",86,15.373652948,2,2,2,2,1,-1,3,2,62,"C",2,7
"75967","32142938-5",65,16.832601663,2,1,2,2,1,-1,2,1,23,"TC",2,17
"75986","32145591-2",5,20.603125992,2,-7,2,1,1,3,-1,2,66,"C",2,7
"76004","32150803-1",32,0.2455202468,2,1,2,2,1,-1,-1,2,74,"TC",1,3
"76015","32153112-3",74,5.5403393424,2,1,2,1,1,-1,-1,2,27,"TC",3,18
"76033","32155899-1",65,0.2446515651,2,1,2,2,2,-1,-1,2,64,"C",1,5
"76047","32158041-1",24,2.0045157418,2,1,2,2,1,-1,1,1,74,"S",2,17
"76080","32162691-1",60,3.175971068,2,1,2,2,1,-1,-1,2,43,"TC",1,18
"76095","32164387-1",18,2.7014166444,2,1,2,2,1,-1,-1,1,38,"S",2,9
"76098","32165487-1",49,4.0504470954,2,1,2,2,1,-1,-1,2,65,"C",2,10
"76099","32165487-2",49,4.0504470954,2,1,2,2,1,-1,-1,1,72,"C",2,10
"76105","32165544-3",83,4.7133047061,2,1,2,2,1,2,-1,2,22,"S",3,18
"76130","32170351-2",29,0.8628528996,2,1,2,2,1,3,-1,2,62,"TC",1,2
"76194","32181638-1",72,4.6427428136,2,2,2,1,1,-1,-1,1,59,"S",1,18
"76202","32183212-1",48,5.5204789,2,1,2,2,1,-1,-1,2,74,"TC",1,6
"76204","32183342-2",2,25.419342576,2,1,2,2,1,-1,-1,2,60,"C",3,12
"76233","32186558-1",60,8.7165479579,2,1,2,2,1,-1,-1,2,46,"U",2,16
"76257","32188909-1",36,1.832988023,2,1,2,2,1,-1,-1,1,64,"TC",4,18
"76266","32190863-1",32,4.3388997667,2,1,2,1,1,-1,2,2,43,"S",2,18
"76283","32192269-4",50,2.6792794055,2,1,2,2,1,-1,-1,2,17,"TC",4,17
"76292","32195448-2",98,7.9698769029,2,4,2,2,1,3,-1,2,66,"TC",1,6
"76294","32195484-1",41,1.5952052959,2,1,2,2,1,3,-1,2,66,"C",1,2
"76295","32195792-1",29,5.955681831,2,1,2,2,1,-1,-1,2,54,"U",4,11
"76296","32195792-2",29,0.7667816204,2,1,2,2,1,-1,-1,2,20,"U",4,11
"76304","32196623-1",16,3.7698856478,2,2,2,2,2,-1,-1,2,54,"TC",1,1
"76322","32198654-4",55,1.1857913754,2,97,2,2,1,-1,-1,2,21,"C",3,10
"76346","32202122-1",78,8.6534445589,2,1,2,2,1,-1,3,2,58,"TC",1,9
"76350","32202711-1",38,2.4469466419,2,7,2,2,1,-1,-1,2,46,"C",2,16
"76380","32206531-1",74,23.801408885,2,1,2,2,1,-1,-1,2,57,"TC",2,18
"76392","32209046-2",13,6.5745698448,2,7,2,2,1,2,-1,2,29,"C",1,10
"76395","32209233-1",81,12.328610769,2,1,2,1,1,3,-1,1,35,"TC",2,18
"76404","32210930-2",50,1.525708029,2,1,2,2,1,3,-1,2,70,"TC",1,18
"76437","32215524-3",62,2.9389345946,2,1,2,2,1,2,-1,1,16,"S",3,5
"76481","32223864-1",19,13.960262808,2,1,2,2,1,-1,-1,2,67,"TC",2,7
"76492","32226351-1",13,5.1211559755,2,1,2,1,1,-1,1,2,36,"S",2,18
"76526","32229567-3",31,0.9499642609,2,1,2,2,1,1,-1,1,18,"TC",2,10
"76544","32232129-1",31,1.2376750281,2,1,2,2,1,3,-1,2,72,"C",1,9
"76563","32234888-3",93,1.9139323705,2,1,2,2,1,-1,-1,2,55,"C",3,18
"76587","32239388-1",52,9.0212628594,2,2,2,2,1,3,-1,1,32,"TC",1,14
"76589","32239593-2",97,8.3962304956,2,1,2,2,1,-1,3,1,63,"S",1,18
"76606","32243273-3",9,3.4277900734,2,1,2,2,1,2,-1,1,20,"TC",4,17
"76617","32244869-1",96,11.546571043,2,1,2,2,1,3,-1,2,66,"S",1,17
"76630","32246153-1",56,20.573629409,2,2,2,2,1,3,-1,2,45,"TC",1,18
"76637","32247691-2",13,4.8246990607,2,1,2,2,1,2,-1,2,41,"TC",2,8
"76659","32250280-1",66,8.2352520311,2,1,2,2,1,-1,-1,2,56,"S",1,14
"76669","32251625-1",96,1.6564948021,2,1,2,2,1,-1,1,1,83,"C",1,4
"76709","32259416-2",77,5.6114110205,2,1,2,2,1,-1,-1,2,64,"S",1,14
"76721","32262500-2",60,3.6472326876,2,1,2,2,1,-1,-1,2,47,"C",1,4
"76758","32269648-3",38,4.1367978039,2,1,2,2,1,-1,-1,2,22,"TC",3,18
"76760","32269899-1",18,1.7562220815,2,1,2,2,1,-1,-1,2,58,"C",2,18
"76764","32270167-1",97,4.7521980649,2,1,2,2,1,3,-1,2,46,"S",2,18
"76780","32273225-2",61,5.5931239512,2,1,2,2,1,-1,-1,1,67,"TC",1,12
"76781","32273663-1",50,1.588449324,2,1,2,2,1,-1,-1,1,18,"S",2,18
"76791","32274503-1",15,0.8099247995,2,1,2,2,1,3,-1,2,62,"TC",1,4
"76804","32276851-1",64,7.7788477427,2,1,2,2,1,-1,-1,2,61,"TC",2,18
"76816","32279450-2",83,7.1315680277,2,1,2,2,1,2,-1,2,39,"TC",2,17
"76818","32280157-1",88,8.1497337879,2,1,2,2,1,3,-1,1,62,"TC",1,8
"76852","32283970-1",77,9.8005634745,2,2,2,2,1,-1,-1,1,67,"TC",1,14
"76855","32284623-2",39,1.0386070307,2,1,2,2,1,3,-1,1,72,"U",1,6
"76866","32285693-1",12,2.0631649987,2,1,2,1,1,2,-1,2,49,"U",1,17
"76882","32289413-1",2,4.1347739655,2,1,2,2,1,-1,2,1,69,"S",2,9
"76883","32289413-2",2,5.6368433241,2,1,2,2,1,-1,-1,2,69,"S",2,9
"76886","32289721-4",11,2.9920430987,2,1,2,2,1,2,-1,1,21,"TC",3,17
"76888","32289897-1",21,2.6302702157,2,1,2,2,1,3,-1,2,40,"S",1,18
"76890","32290129-2",74,1.0770096033,2,1,2,2,1,-1,-1,2,36,"TC",2,12
"76917","32295227-2",9,6.9739452067,2,1,2,2,1,-1,-1,1,67,"TC",1,13
"76928","32297584-1",91,21.755867309,2,1,2,2,1,-1,-1,2,47,"S",2,13
"76934","32299056-1",14,1.5258100239,2,7,2,2,2,-1,-1,2,46,"C",2,6
"76949","32301575-2",68,13.837442334,2,1,2,1,1,-1,-1,1,61,"C",1,6
"76960","32302684-1",87,0.174341426,2,1,2,2,1,-1,-1,2,72,"C",1,4
"76961","32302844-1",64,5.6114307592,2,1,2,2,1,-1,-1,2,68,"S",1,12
"76966","32304192-1",28,3.2621070447,2,1,2,2,1,2,-1,1,66,"C",2,12
"76991","32307027-1",16,30.703279809,2,1,2,2,1,-1,-1,2,36,"TC",1,15
"77001","32308734-1",16,1.345951012,2,1,2,2,1,-1,-1,2,67,"S",1,18
"77003","32309133-1",78,2.1028444996,2,1,2,2,1,3,-1,2,53,"S",6,10
"77005","32309133-5",78,5.812175588,2,1,2,2,1,-1,-1,1,21,"S",6,10
"77006","32309133-6",78,2.159941852,2,1,2,2,1,-1,-1,2,21,"S",6,10
"77007","32309133-7",78,7.945471325,2,1,2,2,1,-1,-1,1,20,"S",6,10
"77008","32309133-8",78,1.444517267,2,1,2,2,1,-1,-1,2,18,"S",6,10
"77011","32309384-3",73,1.2989603014,2,2,2,2,1,-1,-1,1,24,"C",4,18
"77015","32309816-3",57,7.3974898833,2,1,2,2,1,2,-1,1,19,"TC",3,13
"77016","32310559-1",8,10.401325382,2,1,2,2,1,-1,-1,2,59,"TC",1,13
"77036","32314632-1",63,0.7766040051,2,1,2,2,1,-1,-1,2,62,"C",1,8
"77048","32318649-1",86,5.4007862535,2,1,2,2,1,-1,-1,1,74,"TC",1,8
"77070","32321676-3",57,1.6888930439,2,2,2,2,1,-1,-1,2,40,"U",1,6
"77103","32328022-2",36,17.598530553,2,1,2,2,1,2,-1,1,53,"TC",2,12
"77131","32334032-1",30,11.183054045,2,2,2,1,1,-1,-1,2,53,"TC",1,4
"77136","32334041-2",98,20.525308426,2,1,2,1,1,-1,-1,2,60,"S",1,18
"77150","32336429-3",41,11.599257942,2,1,2,-1,2,-1,3,1,20,"TC",2,3
"77167","32340426-3",62,3.4021627573,2,1,2,2,1,-1,-1,2,59,"S",3,5
"77178","32342046-1",29,3.1806059615,2,1,2,2,1,-1,-1,2,22,"C",1,5
"77222","32347023-1",78,6.5116445187,2,1,2,2,1,-1,-1,1,51,"TC",2,10
"77244","32350537-3",96,1.9804156643,2,1,2,2,1,-1,2,1,17,"TC",1,9
"77270","32353051-3",76,3.8982244637,2,1,2,2,1,-1,-1,2,20,"TC",4,-7
"77271","32353051-4",76,6.0430643581,2,1,2,2,1,-1,-1,1,17,"TC",4,-7
"77275","32353828-4",23,6.3635613243,2,4,2,2,1,-1,-1,1,63,"C",2,18
"77281","32354768-2",13,3.5878263763,2,7,2,2,1,-1,-1,2,23,"TC",2,3
"77301","32358681-2",2,4.5108722496,2,1,2,2,1,-1,-1,1,65,"S",1,4
"77302","32360358-1",97,4.8572506318,2,5,2,2,1,-1,3,1,65,"S",2,14
"77304","32360509-2",6,7.4358404221,2,1,2,1,1,-1,-1,2,54,"TC",1,-7
"77322","32363452-1",27,15.604628525,2,1,2,2,1,-1,3,1,60,"TC",3,6
"77339","32366592-2",43,2.4796805245,2,4,2,2,1,-1,-1,2,25,"TC",1,3
"77341","32366789-1",26,88.659523497,2,1,2,2,1,3,-1,2,51,"S",1,9
"77345","32367414-3",11,2.780012385,2,3,2,2,1,3,-1,1,21,"U",3,18
"77352","32368783-1",76,13.717832116,2,1,2,2,1,-1,-1,1,61,"TC",3,14
"77361","32370683-3",82,0.4649730385,2,1,2,2,1,-1,-1,2,17,"TC",2,18
"77386","32375567-2",23,6.1784444836,2,1,2,2,1,-1,-1,1,18,"S",3,13
"77396","32377552-1",46,10.175357394,2,1,2,2,1,-1,-1,2,51,"S",2,18
"77419","32380039-2",81,2.0547620968,2,1,2,2,1,-1,-1,1,72,"TC",1,7
"77421","32380187-2",79,7.6206216659,2,1,2,2,1,-1,-1,2,50,"C",2,18
"77425","32380310-1",15,2.671662765,2,1,2,2,1,1,-1,1,56,"C",2,18
"77429","32380673-1",95,0.3039674159,2,1,2,2,1,2,-1,1,54,"TC",1,13
"77451","32384457-2",34,8.4456569314,2,1,2,1,1,-1,-1,2,51,"S",2,18
"77481","32390672-1",13,0.0962224208,2,1,2,2,1,-1,3,2,68,"TC",1,3
"77492","32394531-1",6,10.521920621,2,1,2,2,1,-1,-1,2,51,"TC",2,16
"77502","32395435-1",22,3.5043760977,2,1,2,2,1,-1,-1,2,50,"S",3,18
"77504","32395435-3",22,8.7813976962,2,1,2,2,1,-1,-1,2,22,"S",3,18
"77528","32398810-2",57,8.8675373009,2,1,2,2,1,-1,-1,2,35,"C",2,7
"77538","32401082-1",91,5.5375131875,2,1,2,1,1,3,-1,2,60,"S",2,18
"77539","32401082-2",91,4.3579416127,2,1,2,2,1,-1,-1,1,61,"S",2,18
"77573","32407664-3",94,2.5056883047,2,2,2,2,1,3,-1,1,17,"C",3,18
"77581","32409574-1",29,6.5260280984,2,1,2,2,1,2,-1,2,29,"U",1,6
"77586","32410217-1",25,2.8325881312,2,1,2,2,1,2,-1,2,37,"S",1,13
"77618","32415098-2",71,9.0346004104,2,1,2,2,1,-1,-1,2,38,"TC",2,16
"77628","32416330-1",95,30.483335904,2,1,2,2,1,3,-1,2,66,"TC",1,10
"77634","32417234-1",74,9.4174967722,2,1,2,2,1,-1,-1,2,49,"TC",2,17
"77647","32418026-1",92,13.169610451,2,1,2,2,1,3,-1,2,36,"C",2,12
"77651","32418101-2",72,1.385118913,2,1,2,2,1,-1,-1,2,29,"S",2,8
"77660","32418923-2",33,19.962046523,2,1,2,2,1,-1,-1,1,70,"TC",1,1
"77684","32422836-1",68,6.1442597086,2,7,2,2,2,-1,-1,2,29,"U",3,6
"77687","32422836-5",68,6.1442597086,2,7,2,2,2,1,-1,1,28,"U",3,6
"77692","32423749-2",62,9.2481285048,2,1,2,1,1,-1,3,2,38,"S",2,16
"77698","32427028-1",80,0.1269599667,2,1,2,2,1,-1,-1,2,77,"TC",1,6
"77703","32427354-1",99,13.232347563,2,2,2,2,1,3,-1,2,28,"S",1,14
"77705","32428061-2",89,10.433221082,2,1,2,2,1,-1,-1,2,39,"C",2,13
"77739","32433382-1",14,1.975189625,2,1,2,2,1,-1,2,2,35,"U",2,9
"77767","32436927-3",9,3.7943913805,2,1,2,2,2,-1,-1,1,61,"TC",2,3
"77782","32441387-1",50,1.455914219,2,1,2,1,1,-1,2,2,38,"S",2,10
"77802","32444883-1",75,13.991762584,2,1,2,2,1,-1,-1,1,68,"S",2,18
"77803","32444883-2",75,7.051426265,2,1,2,1,1,-1,-1,2,62,"S",2,18
"77809","32445116-3",81,8.2440885846,2,5,2,2,1,-1,-1,1,18,"U",3,10
"77822","32447361-2",66,9.5398405101,2,3,2,2,1,3,-1,2,44,"TC",2,18
"77832","32450709-2",35,3.645931087,2,97,2,1,1,-1,-1,1,58,"C",1,7
"77845","32454145-1",79,2.6468289059,2,1,2,2,1,-1,1,2,51,"TC",1,-7
"77849","32455058-2",80,1.1480134715,2,1,2,2,1,-1,-1,1,74,"C",1,7
"77855","32456372-2",41,1.6326090328,2,1,2,1,1,3,-1,2,40,"TC",2,17
"77880","32459645-2",20,20.379696713,2,1,2,2,1,3,-1,2,57,"TC",2,16
"77887","32461778-3",3,12.377113057,2,1,2,2,1,-1,-1,2,19,"U",4,18
"77888","32461778-4",3,12.377113057,2,1,2,2,1,-1,-1,1,18,"U",4,18
"77906","32465888-1",31,1.5314392632,2,1,2,2,1,-1,-1,2,65,"TC",1,10
"77936","32469747-1",57,21.663093219,2,3,2,1,1,-1,2,1,61,"C",3,18
"77938","32469747-3",57,2.3291489242,2,3,2,2,1,-1,-1,1,21,"C",3,18
"77957","32474611-1",49,0.3275755484,2,1,2,2,1,-1,-1,1,76,"S",1,6
"77964","32476585-2",5,9.3524768729,2,1,2,2,1,2,-1,1,37,"TC",2,12
"77970","32477135-4",44,11.015209788,2,1,2,2,1,-1,-1,1,46,"U",2,15
"77971","32477135-5",44,10.862183208,2,1,2,1,1,-1,-1,2,29,"U",2,15
"77981","32479456-5",53,1.2228360318,2,1,2,2,1,-1,-1,2,16,"TC",5,18
"77997","32482483-1",31,1.0633360461,2,1,2,2,1,3,-1,2,49,"S",3,14
"77999","32482483-3",31,1.8597370839,2,1,2,2,1,-1,-1,2,18,"S",3,14
"78018","32485082-3",59,1.6988691847,2,1,2,1,1,-1,-1,1,22,"S",2,13
"78035","32487862-1",61,19.079958053,2,1,2,2,1,-1,-1,2,45,"TC",2,18
"78071","32492914-3",6,9.3121892471,2,1,2,2,1,-1,-1,2,22,"S",2,18
"78080","32495054-1",52,46.193302623,2,5,2,2,1,-1,2,1,26,"U",2,18
"78081","32495054-3",52,4.1043615597,2,5,2,2,1,-1,3,1,19,"U",2,18
"78082","32495540-1",53,1.3205788966,2,2,2,2,1,3,-1,2,48,"U",2,8
"78083","32495540-2",53,2.5126352536,2,2,2,2,2,3,-1,1,18,"U",2,8
"78111","32499735-1",16,25.648849218,2,7,2,2,1,-1,-1,2,35,"U",2,12
"78122","32500583-1",24,1.979218449,2,1,2,2,1,2,-1,2,49,"S",1,13
"78124","32501142-1",5,28.213211124,2,1,2,2,1,3,-1,1,70,"TC",2,12
"78125","32501142-2",5,26.722712253,2,1,2,2,1,-1,-1,2,68,"TC",2,12
"78128","32501366-1",47,0.4739679875,2,7,2,2,1,-1,-1,1,39,"TC",2,2
"78135","32501562-4",100,501.37473,2,1,2,2,1,-1,-1,2,20,"TC",4,18
"78142","32502989-1",31,13.235144906,2,1,2,2,1,-1,-1,2,46,"TC",2,17
"78154","32505485-3",16,3.6137618733,2,2,2,2,1,-1,-1,2,22,"C",2,14
"78171","32508404-1",17,0.9384595043,2,1,2,2,1,-1,1,2,45,"U",2,18
